claim_id,value_as_cited,source_file,source_location,transformation,code_reference
hero_sku_mean_rating_before,4.399,data/processed/defect_detection_report.json,headline_metrics.before.mean_rating_hero_sku,"mean(rating) for VS-AP-8000i, raw corpus, incl. 300-review burst",src/detect_defects.py:headline_metrics (line 211)
hero_sku_mean_rating_after,3.886,data/processed/defect_detection_report.json,headline_metrics.after.mean_rating_hero_sku,"mean(rating) for VS-AP-8000i, burst rows (300) removed","src/detect_defects.py:headline_metrics (line 211), called after detect_burst_duplicates (line 82)"
hero_sku_rating_delta,-0.513,data/processed/defect_detection_report.json,impact_of_not_catching.mean_rating_hero_sku.delta,after - before,src/detect_defects.py:main (line 246)
burst_volume_anomaly_peak,"108 reviews on 2026-03-16, 108x SKU's own daily median",data/processed/defect_detection_report.json,defects.a_burst_duplicate.evidence.volume_anomaly[2],daily count per SKU; robust z-score via median absolute deviation,src/detect_defects.py:mad_zscores (line 71)
defect_a_precision_recall,"precision 1.000, recall 1.000",data/processed/defect_detection_report.json,defects.a_burst_duplicate.scoring,flagged IDs vs tests/fixtures/defect_ground_truth.json,src/detect_defects.py:score (line 235)
defect_b_precision_recall,"precision 1.000, recall 0.980",data/processed/defect_detection_report.json,defects.b_sentiment_rating_conflict.scoring,rating==5&sentiment<=-0.5 or rating==1&sentiment>=+0.5,src/detect_defects.py:detect_sentiment_conflicts (line 147)
defect_c_precision_recall,"precision 1.000, recall 0.983",data/processed/defect_detection_report.json,defects.c_malformed_date.scoring,strict %Y-%m-%d parse failure,"src/detect_defects.py:parse_iso (line 39), detect_malformed_dates (line 176)"
timeseries_rows_lost_pct,3.37%,data/processed/defect_detection_report.json,impact_of_not_catching.timeseries_rows_lost.pct,rows with unparseable review_date / total rows,src/detect_defects.py:headline_metrics (line 211)
noise_friction_prevalence_pct,6.41%,data/processed/taxonomy_themes.json,themes.noise.friction_prevalence_pct,reviews with a negative-polarity sentence matching noise keywords / all reviews,"src/taxonomy.py:theme_hits (line 88), main (line 170)"
noise_csat_impact,-2.295 stars,data/processed/taxonomy_themes.json,themes.noise.csat_impact,"mean(rating | noise theme, rating_trusted) - corpus mean(rating | rating_trusted)",src/taxonomy.py:main (line 170)
connectivity_csat_impact,-2.376 stars,data/processed/taxonomy_themes.json,themes.connectivity.csat_impact,"mean(rating | connectivity theme, rating_trusted) - corpus mean",src/taxonomy.py:main (line 170)
hand_label_agreement_pct,82.0%,data/processed/taxonomy_themes.json,validation.raw_agreement_pct,"matches(hand_label, auto primary_theme) / n=50, data/hand_labeled_sample.csv",src/taxonomy.py:cohens_kappa (line 162)
