review_id,product_sku,product_name,brand,marketplace,country,language,review_date,rating,review_title,review_text,verified_purchase,helpful_votes,reviewer_id,reviewer_review_count,source_ingested_at,rating_trusted,date_parseable,rating_trusted,date_parseable
CR-000001,VS-AP-4000i,Air Purifier 4000i Series,Philips,amazon_uk,GB,en,2024-09-01,4,Excellent purifier,"On sleep mode it is quieter than my old fan by a wide margin. It looks like a piece of furniture rather than an appliance, which sold my partner on it.",true,0,RV8714809,5,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000002,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,coolblue_nl,NL,nl,2024-09-01,1,Disappointing smart features,"The app is slow, logs me out at random and lost all my schedules after an update. On anything above speed two it is far too loud to sit in the same room.",true,4,RV3556394,5,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000003,VS-AP-8000i,Air Performer 8000i Series,Philips,amazon_nl,NL,nl,2024-09-01,3,Reasonable purchase,Decent unit but the smart features are more of a novelty than a reason to buy.,true,4,RV4064836,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000004,CP-DY-TP09,Purifier Cool Formaldehyde TP09,Dyson,currys_uk,GB,en,2024-09-01,5,Exactly what we needed,"Compact footprint, does not dominate the room. The sensor is responsive enough that I mostly just leave it on auto and forget it.",true,10,RV4852801,2,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000005,CP-XM-4PRO,Smart Air Purifier 4 Pro,Xiaomi,currys_uk,GB,en,2024-09-02,5,Very happy with it,"Our bedroom air feels noticeably lighter overnight and I wake up without a blocked nose. Whisper quiet at the lower settings, which is all we need overnight.",true,0,RV5139500,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000006,CP-XM-4PRO,Smart Air Purifier 4 Pro,Xiaomi,amazon_uk,GB,en,2024-09-02,3,Does the job,Does the job. Nothing remarkable either way.,true,3,RV5922991,61,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000007,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,amazon_nl,NL,nl,2024-09-02,1,Loud and unreliable,Stopped responding entirely after four months and had to be replaced under warranty. On anything above speed two it is far too loud to sit in the same room.,true,4,RV7010186,61,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000008,VS-AP-8000i,Air Performer 8000i Series,Philips,bol_nl,NL,nl,2024-09-02,4,Worth it for allergy season,"It looks like a piece of furniture rather than an appliance, which sold my partner on it. I like being able to check the air quality history for the past week from my phone. Works as described, though the manual is close to useless.",true,1,RV2682695,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000009,VS-AP-2000,Air Purifier 2000 Series,Philips,bol_nl,NL,nl,2024-09-03,4,Excellent purifier,Worth the money for the coverage it gives in an open plan space. The sensor is responsive enough that I mostly just leave it on auto and forget it. Hay fever season was genuinely bearable this year for the first time.,true,0,RV0902081,27,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000010,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,amazon_uk,GB,en,2024-09-03,3,Reasonable purchase,"Decent unit but the smart features are more of a novelty than a reason to buy. Build quality feels solid and the filter change is a thirty second job. Replacement filters cost almost half the price of the unit, which is absurd.",true,9,RV2778053,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000011,VS-AP-8000i,Air Performer 8000i Series,Philips,amazon_fr,FR,fr,2024-09-03,3,Mixed feelings,Decent unit but the smart features are more of a novelty than a reason to buy.,true,3,RV5263379,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000012,CP-LV-C400S,Core 400S Smart,Levoit,amazon_nl,NL,nl,2024-09-03,5,Exactly what we needed,Setting up a night schedule in the app took under a minute. On sleep mode it is quieter than my old fan by a wide margin.,true,5,RV4632815,27,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000013,VS-AP-2000,Air Purifier 2000 Series,Philips,amazon_nl,NL,nl,2024-09-03,5,Loud and unreliable,"The air quality sensor seems to read whatever it likes, it sat on red in an empty clean room. The touch panel became unresponsive within weeks.",false,0,RV1968630,8,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000014,VS-AP-3000i,Air Purifier 3000i Series,Philips,bol_nl,NL,nl,2024-09-03,5,Big difference in the bedroom,At speed one you genuinely cannot hear it from the bed. Worth the money for the coverage it gives in an open plan space.,false,10,RV3867398,8,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000015,VS-AP-3000i,Air Purifier 3000i Series,Philips,amazon_fr,FR,fr,2024-09-04,1,Good hardware ruined by the app,"Turbo mode sounds like a hairdryer, we never use it. The air quality sensor seems to read whatever it likes, it sat on red in an empty clean room.",true,2,RV6986352,1,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000016,CP-BB-DM5440,DustMagnet 5440i,Blueair,coolblue_nl,NL,nl,2024-09-04,5,Excellent purifier,On sleep mode it is quieter than my old fan by a wide margin.,true,0,RV1512737,14,2026-08-26T09:00:00+02:00,true,true,true,true
CR-000017,VS-AC-1000i,Air Cleaner Compact 1000i,Philips,versuni_dtc,EU,en,2024-09-04,1,Loud and unreliable,"On anything above speed two it is far too loud to sit in the same room. The air quality sensor seems to read whatever it likes, it sat on red in an empty clean room.",false,0,RV4105242,3,2026-08-26T09:00:00+02:00,true,true,true,true
